City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Lincoln,AU,59.52,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
2,Naze,JP,76.12,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
3,Caluquembe,AO,62.02,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
4,Harper,LR,77.02,overcast clouds,4.375,-7.7169,Screensaver
6,Virginia Beach,US,63.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
7,Gualeguaychu,AR,72.86,clear sky,-33.0094,-58.5172,Hotel Los Angeles
8,Arraial Do Cabo,BR,69.08,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Sur,OM,81.79,few clouds,22.5667,59.5289,Sur Plaza Hotel
11,Port Elizabeth,ZA,63.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
15,Hobart,AU,58.12,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
17,Kavaratti,IN,81.79,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
18,Atuona,PF,78.06,clear sky,-9.8,-139.0333,Villa Enata
19,Airai,TL,81.18,overcast clouds,-8.9266,125.4092,Juvinal Martin
20,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Mataura,NZ,74.32,broken clouds,-46.1927,168.8643,Ellie's Villa
23,Paredon,MX,75.85,scattered clouds,16.0333,-93.8667,Hotel Principal Paredon
24,Ponta Do Sol,PT,70.72,scattered clouds,32.6667,-17.1,Hotel do Campo
29,Guerrero Negro,MX,67.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
30,Dosso,NE,80.29,broken clouds,13.049,3.1937,Hotel Toubal
32,Faanui,PF,78.91,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Daltenganj,IN,75.56,clear sky,24.0333,84.0667,Hotel Galaxy Inn
35,Rikitea,PF,75.24,light rain,-23.1203,-134.9692,People ThankYou
36,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
38,Mercedes,AR,74.84,clear sky,-34.6515,-59.4307,Posada del Inti Centro
41,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Dallas,US,60.69,clear sky,32.7668,-96.7836,CANVAS Hotel | Dallas
43,Marsh Harbour,BS,78.73,broken clouds,26.5412,-77.0636,Abaco Beach Resort
44,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
45,Chifeng,CN,58.1,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
