City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,59.52,51,35,8.28,scattered clouds
1,Brainerd,US,46.358,-94.2008,37.18,93,1,0.0,clear sky
2,Naze,JP,28.3667,129.4833,76.12,62,92,9.13,overcast clouds
3,Caluquembe,AO,-13.7833,14.6833,62.02,84,98,1.52,overcast clouds
4,Harper,LR,4.375,-7.7169,77.02,85,100,5.75,overcast clouds
5,Marystown,CA,47.1666,-55.1483,42.85,100,97,1.01,overcast clouds
6,Virginia Beach,US,36.8529,-75.978,63.01,74,1,5.99,clear sky
7,Gualeguaychu,AR,-33.0094,-58.5172,72.86,76,1,10.38,clear sky
8,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,88,100,14.65,overcast clouds
9,San Carlos De Bariloche,AR,-41.1456,-71.3082,43.57,92,6,5.46,clear sky
10,Sur,OM,22.5667,59.5289,81.79,42,16,3.62,few clouds
11,Port Elizabeth,ZA,-33.918,25.5701,63.1,83,59,14.99,broken clouds
12,Yellowknife,CA,62.456,-114.3525,32.41,94,90,10.36,light snow
13,Kathu,TH,7.9178,98.3332,87.69,90,96,4.52,overcast clouds
14,Albany,US,42.6001,-73.9662,47.08,80,80,3.0,light rain
15,Hobart,AU,-42.8794,147.3294,58.12,44,40,14.97,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,12.66,clear sky
17,Kavaratti,IN,10.5669,72.642,81.79,73,88,3.58,moderate rain
18,Atuona,PF,-9.8,-139.0333,78.06,67,5,11.03,clear sky
19,Airai,TL,-8.9266,125.4092,81.18,38,99,2.15,overcast clouds
20,Kapaa,US,22.0752,-159.319,75.18,94,40,5.75,light rain
21,Mataura,NZ,-46.1927,168.8643,74.32,39,78,4.18,broken clouds
22,Kavieng,PG,-2.5744,150.7967,85.69,66,90,7.2,light rain
23,Paredon,MX,16.0333,-93.8667,75.85,71,26,15.23,scattered clouds
24,Ponta Do Sol,PT,32.6667,-17.1,70.72,72,34,9.08,scattered clouds
25,Komsomolskiy,UZ,40.4272,71.7189,48.92,66,0,0.0,clear sky
26,Georgetown,MY,5.4112,100.3354,88.9,73,40,1.01,scattered clouds
27,Luderitz,NA,-26.6481,15.1594,58.26,77,0,7.58,clear sky
28,Zapolyarnyy,RU,69.4154,30.8136,25.88,90,48,8.48,scattered clouds
29,Guerrero Negro,MX,27.9769,-114.0611,67.42,76,0,8.66,clear sky
